Title,Year,Rating,Votes,Runtime(min),Genres_x,Overview,Director_x,Actors,RT_CriticScore,RT_AudienceScore,Genres_y,Director_y,Runtime_x,RT_Link,Metascore,UserScore,Genres,Director,Runtime_y
amazing grace,2018,,,,,,,,99.0,80.0,"music, documentary",Alan Elliott,1h 27m,http://www.rottentomatoes.com/m/amazing_grace_2018,94.0,82.0,"Documentary,Music","Alan Elliott,Sydney Pollack",87.0
amazing grace,2018,,,,,,,,99.0,80.0,"music, documentary",Alan Elliott,1h 27m,http://www.rottentomatoes.com/m/amazing_grace_2018,94.0,82.0,"Documentary,Music","Alan Elliott,Sydney Pollack",87.0
american beauty,1999,8.008,12300.0,122.0,Drama,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",Sam Mendes,"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley, Mena Suvari",,,,,,,,,,,
american graffiti,1973,,,,,,,,,,,,,,97.0,73.0,"Comedy,Drama",George Lucas,110.0
american history x,1998,8.339,11816.0,119.0,Drama,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",Tony Kaye,"Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien, Ethan Suplee",,,,,,,,,,,
american hustle,2013,,,,,,,,,,,,,,90.0,73.0,"Crime,Drama",David O. Russell,138.0
american splendor,2003,,,,,,,,,,,,,,90.0,75.0,"Biography,Comedy,Drama","Shari Springer Berman,Robert Pulcini",101.0
amour,2012,,,,,,,,,,,,,,95.0,81.0,Drama,Michael Haneke,127.0
amélie,2001,7.915,11737.0,122.0,"Comedy, Romance","At a tiny Parisian café, the adorable yet painfully shy Amélie accidentally discovers a gift for helping others. Soon Amelie is spending her days as a matchmaker, guardian angel, and all-around do-gooder. But when she bumps into a handsome stranger, will she find the courage to become the star of her very own love story?",Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz, Rufus, Serge Merlin, Jamel Debbouze",,,,,,,,,,,
an autumn afternoon,1964,,,,,,,,,,,,,,91.0,78.0,Drama,Yasujirô Ozu,113.0
an egg rescue,2021,7.9,410.0,89.0,"Animation, Comedy, Adventure, Family",Toto and his friends must rescue his egg children after they're taken away for a gourmet food event in Africa.,Rodolfo Riva Palacio Alatriste,"Bruno Bichir, Maite Perroni, Carlos Espejel, Angélica Vale, Dione Riva Palacio Santacruz",,,,,,,,,,,
anatomy of a murder,1959,,,,,,,,100.0,90.0,"crime, drama, mystery and thriller",Otto Preminger,2h 40m,http://www.rottentomatoes.com/m/anatomy-of-a-murder,95.0,82.0,"Drama,Mystery",Otto Preminger,160.0
anatomy of a murder,1959,,,,,,,,100.0,90.0,"crime, drama, mystery and thriller",Otto Preminger,2h 40m,http://www.rottentomatoes.com/m/anatomy-of-a-murder,95.0,82.0,"Drama,Mystery",Otto Preminger,160.0
andrei rublev,1966,7.986,852.0,183.0,"Drama, History","An expansive Russian drama, this film focuses on the life of revered religious icon painter Andrei Rublev. Drifting from place to place in a tumultuous era, the peace-seeking monk eventually gains a reputation for his art. But after Rublev witnesses a brutal battle and unintentionally becomes involved, he takes a vow of silence and spends time away from his work. As he begins to ease his troubled soul, he takes steps towards becoming a painter once again.",Andrei Tarkovsky,"Anatoliy Solonitsyn, Ivan Lapikov, Nikolay Grinko, Nikolai Sergeyev, Irma Raush",,,,,,,,,,,
annie hall,1977,,,,,,,,,,,,,,92.0,71.0,"Comedy,Romance",Woody Allen,93.0
anomalisa,2015,,,,,,,,,,,,,,88.0,75.0,"Animation,Comedy,Drama,Romance","Duke Johnson,Charlie Kaufman",90.0
anora,2024,,,,,,,,,,,,,,91.0,65.0,"Comedy,Drama,Romance",Sean Baker,139.0
anvil! the story of anvil,2008,,,,,,,,98.0,91.0,documentary,Sacha Gervasi,1h 25m,http://www.rottentomatoes.com/m/anvil_the_story_of_anvil,,,,,
anvil! the story of anvil,2008,,,,,,,,98.0,91.0,documentary,Sacha Gervasi,1h 25m,http://www.rottentomatoes.com/m/anvil_the_story_of_anvil,,,,,
apocalypse now,1979,8.274,8446.0,147.0,"Drama, War","At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",Francis Ford Coppola,"Martin Sheen, Marlon Brando, Albert Hall, Frederic Forrest, Laurence Fishburne",98.0,94.0,"drama, war",Francis Ford Coppola,2h 33m,http://www.rottentomatoes.com/m/apocalypse_now,94.0,87.0,"Drama,Mystery,War",Francis Ford Coppola,153.0
apocalypse now redux,2001,,,,,,,,,,,,,,92.0,87.0,,,153.0
